iter	Passed	Remaining
781	1480	412
782	1481	410
783	1483	408
784	1485	406
785	1486	404
786	1488	402
787	1489	400
788	1491	398
789	1493	396
790	1495	395
791	1496	393
792	1498	391
793	1500	389
794	1502	387
795	1504	385
796	1505	383
797	1507	381
798	1509	379
799	1510	377
800	1512	375
801	1513	373
802	1515	371
803	1516	369
804	1518	367
805	1520	365
806	1522	364
807	1524	362
808	1525	360
809	1527	358
810	1529	356
811	1531	354
812	1532	352
813	1534	350
814	1535	348
815	1537	346
816	1539	344
817	1540	342
818	1542	340
819	1543	338
820	1545	336
821	1546	334
822	1548	333
823	1550	331
824	1551	329
825	1553	327
826	1554	325
827	1556	323
828	1557	321
829	1559	319
830	1560	317
831	1562	315
832	1563	313
833	1565	311
834	1566	309
835	1568	307
836	1570	305
837	1571	303
838	1573	301
839	1575	300
840	1576	298
841	1578	296
842	1579	294
843	1581	292
844	1582	290
845	1584	288
846	1586	286
847	1587	284
848	1589	282
849	1590	280
850	1592	278
851	1594	276
852	1595	274
853	1596	273
854	1598	271
855	1600	269
856	1601	267
857	1603	265
858	1605	263
859	1606	261
860	1608	259
861	1609	257
862	1611	255
863	1612	253
864	1614	251
865	1615	250
866	1617	248
867	1619	246
868	1620	244
869	1622	242
870	1623	240
871	1625	238
872	1626	236
873	1628	234
874	1629	232
875	1631	230
876	1633	229
877	1634	227
878	1636	225
879	1638	223
880	1639	221
881	1641	219
882	1642	217
883	1644	215
884	1645	213
885	1647	211
886	1648	210
887	1650	208
888	1652	206
889	1653	204
890	1655	202
891	1656	200
892	1658	198
893	1659	196
894	1661	194
895	1662	192
896	1664	191
897	1666	189
898	1667	187
899	1669	185
900	1670	183
901	1672	181
902	1673	179
903	1675	177
904	1676	176
905	1678	174
906	1679	172
907	1681	170
908	1683	168
909	1684	166
910	1686	164
911	1687	162
912	1689	160
913	1690	159
914	1692	157
915	1693	155
916	1695	153
917	1697	151
918	1698	149
919	1701	147
920	1703	146
921	1704	144
922	1706	142
923	1707	140
924	1709	138
925	1710	136
926	1712	134
927	1714	132
928	1715	131
929	1717	129
930	1718	127
931	1720	125
932	1722	123
933	1724	121
934	1725	119
935	1727	118
936	1729	116
937	1731	114
938	1732	112
939	1734	110
940	1736	108
941	1737	106
942	1739	105
943	1740	103
944	1742	101
945	1743	99
946	1745	97
947	1747	95
948	1748	93
949	1750	92
950	1751	90
951	1753	88
952	1754	86
953	1756	84
954	1757	82
955	1759	80
956	1760	79
957	1762	77
958	1764	75
959	1765	73
960	1767	71
961	1768	69
962	1770	68
963	1771	66
964	1773	64
965	1774	62
966	1776	60
967	1777	58
968	1779	56
969	1781	55
970	1783	53
971	1784	51
972	1786	49
973	1787	47
974	1789	45
975	1790	44
976	1792	42
977	1794	40
978	1795	38
979	1797	36
980	1798	34
981	1800	32
982	1801	31
983	1803	29
984	1804	27
985	1806	25
986	1808	23
987	1810	21
988	1811	20
989	1813	18
990	1814	16
991	1816	14
992	1817	12
993	1819	10
994	1820	9
995	1822	7
996	1824	5
997	1825	3
998	1827	1
999	1828	0
